"filename", "language", "vue", "JavaScript", "XML", "comment", "blank", "total"
"/home/dell/local/vue_video_pj/src/views/SearchVideo.vue", "vue", 266, 0, 0, 12, 15, 293
"/home/dell/local/vue_video_pj/src/views/Singer/CommentView.vue", "vue", 248, 0, 0, 4, 12, 264
"/home/dell/local/vue_video_pj/src/views/Singer/DashBoard.vue", "vue", 231, 0, 0, 0, 6, 237
"/home/dell/local/vue_video_pj/src/views/Singer/DetailsVideo.vue", "vue", 332, 0, 0, 1, 13, 346
"/home/dell/local/vue_video_pj/src/views/Singer/Index.vue", "vue", 10, 0, 0, 0, 2, 12
"/home/dell/local/vue_video_pj/src/views/Singer/SubscriberDashBoard.vue", "vue", 147, 0, 0, 0, 3, 150
"/home/dell/local/vue_video_pj/src/views/Singer/UploadVideo.vue", "vue", 16, 0, 0, 0, 1, 17
"/home/dell/local/vue_video_pj/src/views/Singer/VideoDashBoard.vue", "vue", 182, 0, 0, 0, 2, 184
"/home/dell/local/vue_video_pj/src/views/Singer/VideoView.vue", "vue", 233, 0, 0, 4, 12, 249
"/home/dell/local/vue_video_pj/src/views/Singer/WatchedHourDashBoard.vue", "vue", 124, 0, 0, 0, 5, 129
"/home/dell/local/vue_video_pj/src/views/SubscribedVideo.vue", "vue", 134, 0, 0, 0, 7, 141
"/home/dell/local/vue_video_pj/src/views/TrendingVideo.vue", "vue", 165, 0, 0, 2, 9, 176
"/home/dell/local/vue_video_pj/src/views/WatchLaterVideo.vue", "vue", 356, 0, 0, 0, 12, 368
"/home/dell/local/vue_video_pj/src/views/WatchVideo.vue", "vue", 1195, 0, 0, 29, 48, 1272
"Total", "-", 11397, 962, 1, 200, 566, 13126
